Partlist

Exported from 32BVer0.brd at 29/06/2021 13:30:07

EAGLE Version 5.11.0 Copyright (c) 1988-2010 CadSoft

Part         Value            Package        Library         Position (mil)        Orientation

1PPS                          1X02           pinhead         (4457.48 866)         R90
ANALOG_INPUT DB25             F25HP          con-subd        (441.48 2150)         R90
C1           0.1u             C0603          rcl             (1082.48 1770)        R0
C2           0.1u             C0603          rcl             (1082.48 2090)        R0
C3           0.1u             C0603          rcl             (1082.48 2410)        R0
C4           0.1u             C0603          rcl             (1082.48 2730)        R0
C5           0.1u             C0603          rcl             (1082.48 1570)        R0
C6           0.1u             C0603          rcl             (1082.48 1890)        R0
C7           0.1u             C0603          rcl             (1082.48 2210)        R0
C8           0.1u             C0603          rcl             (1082.48 2530)        R0
C9           0.1u             C0603          rcl             (1694.48 2450)        R180
C10          0.1u             C0603          rcl             (1460.48 2450)        R180
C11          0.1u             C0603          rcl             (2351.48 1426)        MR270
C12          0.1u             C0603          rcl             (2631.48 1426)        MR90
C13          0.1u             C0603          rcl             (2631.48 1602)        MR270
C14          0.1u             C0603          rcl             (2450.48 1805)        MR0
C15          0.1u             C0603          rcl             (2631.48 1955)        MR90
C16          0.1u             C0603          rcl             (2631.48 2131)        MR270
C17          0.1u             C0603          rcl             (1820.52 824)         R90
C18          0.1u             C0603          rcl             (1820.48 1075)        R270
C19          0.1u             C0402          rcl             (1973.48 2425)        MR180
C20          1u               C0402          rcl             (1973.48 2355)        MR180
C21          0.1u             C0402          rcl             (2378.48 2598)        MR270
C22          1u               C0402          rcl             (2438.48 2598)        MR270
C23          0.1u             C0402          rcl             (2316.48 2708)        MR270
C24          20p              C0402          rcl             (1737.48 2757)        MR90
C25          20p              C0402          rcl             (1737.48 2617)        MR270
C26          330p             C0402          rcl             (2316.48 2533)        MR270
C27          330p             C0402          rcl             (2316.48 2437)        MR270
C28          330p             C0402          rcl             (2407.48 2508)        MR180
C29          0.1u             C0402          rcl             (1935.48 2043)        MR90
C30          1u               C0402          rcl             (2068.48 1819)        MR0
C31          1u               C0402          rcl             (2104.48 2306)        MR180
C32          0.1u             C0402          rcl             (2104.48 2375)        MR180
C33          0.1u             C0402          rcl             (2156.48 2425)        MR0
C34          0.1u             C0603          rcl             (2350.48 3476)        R270
C35          0.1u             C0603          rcl             (2350.48 3224)        R90
C36          2.2u             C0603          rcl             (1782.48 2066)        MR90
C37          2.2u             C0603          rcl             (1582.48 1541)        MR90
C38          10n              C0603          rcl             (1572.48 2066)        MR270
C39          2.2u             C0603          rcl             (1676.48 2206)        MR0
C40          10n              C0603          rcl             (1782.48 1541)        MR90
C41          2.2u             C0603          rcl             (1676.48 1668)        MR0
C42          2.2u             C0603          rcl             (2568.48 2725)        MR0
C43          10n              C0603          rcl             (2568.48 2915)        MR180
C44          2.2u             C0603          rcl             (2440.48 2818)        MR270
C45          2.2u             C0603          rcl             (1071.48 1887)        MR90
C46          10n              C0603          rcl             (871.48 1887)         MR270
C47          2.2u             C0603          rcl             (971.48 2017)         MR0
C48          0.1u             C0402          rcl             (1889.48 2435)        MR270
C49          0.1u             C0402          rcl             (1889.48 2565)        MR270
C50          0.1u             C0402          rcl             (1815.48 2514)        MR270
C51          2.2u             C0603          rcl             (4399.48 1439)        R180
C52          10n              C0603          rcl             (4280.48 1300)        R90
C53          2.2u             C0603          rcl             (4399.48 1138)        R180
C54          0.1u             C0603          rcl             (4401.48 541)         R0
C55          10u              A/3216-18W     rcl             (1477.48 4084)        MR90
C56          0.1u             C0603          rcl             (1279.48 4084)        R0
C57          10u              A/3216-18W     rcl             (980.48 3377)         R0
C58          0.1u             C0603          rcl             (980.48 3492)         R180
C59          10u              A/3216-18W     rcl             (782.48 4084)         R270
C60          0.1u             C0603          rcl             (980.48 4084)         R0
C61          2.2u             C0603          rcl             (1071.48 2497)        MR90
C62          10n              C0603          rcl             (871.48 2497)         MR270
C63          2.2u             C0603          rcl             (971.48 2627)         MR0
C64          0.1u             C0603          rcl             (3908.48 2288)        R0
C65          0.1u             C0603          rcl             (4034.48 2288)        R0
C66          0.1u             C0603          rcl             (3779.48 2471)        R270
C67          0.1u             C0603          rcl             (4129.48 2201)        R270
C68          0.1u             C0603          rcl             (3779.48 2633)        R90
COM1                          1X03           pinhead         (2951.48 250)         R0
D1           DZ23C3V0-7-F     SOT23          LibraryMagnet   (1654.48 2690)        R0
D2           DZ23C3V0-7-F     SOT23          LibraryMagnet   (1500.48 2690)        R0
D3           SMBJ15CATR       DO214AA        LibraryMagnet   (3841.48 876)         MR0
D4           SMBJ15CATR       DO214AA        LibraryMagnet   (3841.48 1467)        MR0
D5           SMBJ15CATR       DO214AA        LibraryMagnet   (3291.48 1467)        MR0
D6           SMBJ15CATR       DO214AA        LibraryMagnet   (3291.48 876)         MR0
F1           NFE31PT152Z1E9L  KNF21          LibraryMagnet   (2034.48 1697)        MR0
F2           NFE31PT152Z1E9L  KNF21          LibraryMagnet   (1676.48 1899)        MR0
F3           NFE31PT152Z1E9L  KNF21          LibraryMagnet   (1676.48 1372)        MR180
F4           NFE31PT152Z1E9L  KNF21          LibraryMagnet   (2601.48 2577)        MR270
F5           NFE31PT152Z1E9L  KNF21          LibraryMagnet   (971.48 1687)         MR0
F6           NFE31PT152Z1E9L  KNF21          LibraryMagnet   (971.48 2297)         MR0
GAP1         CG75L            GAP            magnetometro    (3857.48 1350)        R0
GAP2         CG75L            GAP            magnetometro    (3857.48 760)         R0
GAP3         CG75L            GAP            magnetometro    (3307.48 760)         R0
GAP4         CG75L            GAP            magnetometro    (3307.48 1350)        R0
GPS                           MOLEX_FLEX8PIN magnetometro    (3858.48 250)         R180
IC1          MAX337EAI+       SSOP28         LibraryMagnet   (1577.48 2150)        R270
IC2          DG419DY+         SO08           LibraryMagnet   (2491.48 2043)        MR180
IC3          DG419DY+         SO08           LibraryMagnet   (2491.48 1514)        MR180
IC4          ADUM1400         SO16W          LibraryMagnet   (2089.48 950)         R0
IC5          AD7177-2         TSSOP24        LibraryMagnet   (2112.48 2610)        MR90
IC6          ADR4525          SO08           LibraryMagnet   (2068.48 2043)        MR0
