Partlist

Exported from 32BVer0.sch at 28/06/2021 13:55:23

EAGLE Version 5.11.0 Copyright (c) 1988-2010 CadSoft

Part         Value            Device            Package        Library         Sheet

C1           0.1u             C-USC0603         C0603          rcl             1
C2           0.1u             C-USC0603         C0603          rcl             1
C3           0.1u             C-USC0603         C0603          rcl             1
C4           0.1u             C-USC0603         C0603          rcl             1
C5           0.1u             C-USC0603         C0603          rcl             1
C6           0.1u             C-USC0603         C0603          rcl             1
C7           0.1u             C-USC0603         C0603          rcl             1
C8           0.1u             C-USC0603         C0603          rcl             1
C9           0.1u             C-USC0603         C0603          rcl             1
C10          0.1u             C-USC0603         C0603          rcl             1
C11          0.1u             C-USC0603         C0603          rcl             1
C12          0.1u             C-USC0603         C0603          rcl             1
C13          0.1u             C-USC0603         C0603          rcl             1
C14          0.1u             C-USC0603         C0603          rcl             1
C15          0.1u             C-USC0603         C0603          rcl             1
C16          0.1u             C-USC0603         C0603          rcl             1
C17          0.1u             C-USC0603         C0603          rcl             1
C18          0.1u             C-USC0603         C0603          rcl             1
C34          0.1u             C-USC0603         C0603          rcl             2
C35          0.1u             C-USC0603         C0603          rcl             2
C54          0.1u             C-USC0603         C0603          rcl             3
C56          0.1u             C-USC0603         C0603          rcl             3
C58          0.1u             C-USC0603         C0603          rcl             3
C60          0.1u             C-USC0603         C0603          rcl             3
C64          0.1u             C-USC0603         C0603          rcl             3
C65          0.1u             C-USC0603         C0603          rcl             3
C66          0.1u             C-USC0603         C0603          rcl             3
C67          0.1u             C-USC0603         C0603          rcl             3
C68          0.1u             C-USC0603         C0603          rcl             3
-----------------------------------------------------------------------------------------> 29

C19          0.1u             C-USC0402         C0402          rcl             2
C21          0.1u             C-USC0402         C0402          rcl             2
C23          0.1u             C-USC0402         C0402          rcl             2
C29          0.1u             C-USC0402         C0402          rcl             2
C32          0.1u             C-USC0402         C0402          rcl             2
C33          0.1u             C-USC0402         C0402          rcl             2
C48          0.1u             C-USC0402         C0402          rcl             2
C49          0.1u             C-USC0402         C0402          rcl             2
C50          0.1u             C-USC0402         C0402          rcl             2
-----------------------------------------------------------------------------------------> 9

C20          1u               C-USC0402         C0402          rcl             2
C22          1u               C-USC0402         C0402          rcl             2
C30          1u               C-USC0402         C0402          rcl             2
C31          1u               C-USC0402         C0402          rcl             2
-----------------------------------------------------------------------------------------> 4

C24          20p              C-USC0402         C0402          rcl             2
C25          20p              C-USC0402         C0402          rcl             2
-----------------------------------------------------------------------------------------> 2

C26          330p             C-USC0402         C0402          rcl             2
C27          330p             C-USC0402         C0402          rcl             2
C28          330p             C-USC0402         C0402          rcl             2
-----------------------------------------------------------------------------------------> 3

C38          10n              C-USC0603         C0603          rcl             2
C40          10n              C-USC0603         C0603          rcl             2
C43          10n              C-USC0603         C0603          rcl             2
C46          10n              C-USC0603         C0603          rcl             2
C52          10n              C-USC0603         C0603          rcl             3
C62          10n              C-USC0603         C0603          rcl             1
-----------------------------------------------------------------------------------------> 6

C36          2.2u             C-USC0603         C0603          rcl             2
C37          2.2u             C-USC0603         C0603          rcl             2
C39          2.2u             C-USC0603         C0603          rcl             2
C41          2.2u             C-USC0603         C0603          rcl             2
C42          2.2u             C-USC0603         C0603          rcl             2
C44          2.2u             C-USC0603         C0603          rcl             2
C45          2.2u             C-USC0603         C0603          rcl             2
C47          2.2u             C-USC0603         C0603          rcl             2
C51          2.2u             C-USC0603         C0603          rcl             3
C53          2.2u             C-USC0603         C0603          rcl             3
C61          2.2u             C-USC0603         C0603          rcl             1
C63          2.2u             C-USC0603         C0603          rcl             1
-----------------------------------------------------------------------------------------> 12

C55          10u              CPOL-USA/3216-18W A/3216-18W     rcl             3
C57          10u              CPOL-USA/3216-18W A/3216-18W     rcl             3
C59          10u              CPOL-USA/3216-18W A/3216-18W     rcl             3
-----------------------------------------------------------------------------------------> 3

R1           10K              R-US_R0603        R0603          rcl             1
R3           10K              R-US_R0603        R0603          rcl             1
R5           10K              R-US_R0603        R0603          rcl             1
R7           10K              R-US_R0603        R0603          rcl             1
R9           10K              R-US_R0603        R0603          rcl             1
R11          10K              R-US_R0603        R0603          rcl             1
R13          10K              R-US_R0603        R0603          rcl             1
R15          10K              R-US_R0603        R0603          rcl             1
-----------------------------------------------------------------------------------------> 8

R2           1M               R-US_R0603        R0603          rcl             1
R4           1M               R-US_R0603        R0603          rcl             1
R6           1M               R-US_R0603        R0603          rcl             1
R8           1M               R-US_R0603        R0603          rcl             1
R10          1M               R-US_R0603        R0603          rcl             1
R12          1M               R-US_R0603        R0603          rcl             1
R14          1M               R-US_R0603        R0603          rcl             1
R16          1M               R-US_R0603        R0603          rcl             1
-----------------------------------------------------------------------------------------> 8

R17          300              R-US_R0603        R0603          rcl             1
R18          300              R-US_R0603        R0603          rcl             1
R19          300              R-US_R0603        R0603          rcl             1
R20          300              R-US_R0603        R0603          rcl             1
R21          300              R-US_R0603        R0603          rcl             1
R22          300              R-US_R0603        R0603          rcl             1
R23          300              R-US_R0603        R0603          rcl             2
R24          300              R-US_R0603        R0603          rcl             2
R25          300              R-US_R0603        R0603          rcl             2
R26          300              R-US_R0603        R0603          rcl             2
R27          300              R-US_R0603        R0603          rcl             1
R28          300              R-US_R0603        R0603          rcl             1
R29          300              R-US_R0603        R0603          rcl             1
R30          300              R-US_R0603        R0603          rcl             1
R31          300              R-US_R0603        R0603          rcl             2
R32          300              R-US_R0603        R0603          rcl             2
R33          300              R-US_R0603        R0603          rcl             2
R34          300              R-US_R0603        R0603          rcl             2
R35          300              R-US_R0603        R0603          rcl             3
R36          300              R-US_R0603        R0603          rcl             3
R39          300              R-US_R0603        R0603          rcl             3
R40          300              R-US_R0603        R0603          rcl             3
R41          300              R-US_R0603        R0603          rcl             3
R42          300              R-US_R0603        R0603          rcl             3
R43          300              R-US_R0603        R0603          rcl             3
R44          300              R-US_R0603        R0603          rcl             3
-----------------------------------------------------------------------------------------> 26

R37          1K               R-US_R0603        R0603          rcl             3
R45          1K               R-US_R0603        R0603          rcl             3
R46          1K               R-US_R0603        R0603          rcl             3

R38          0                R-US_R0603        R0603          rcl             3

D1           DZ23C3V0-7-F     DZ23C3V0-7-F      SOT23          LibraryMagnet   1
